month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Brooklyn,1,LCL/LTD,B3,Off-Peak,19341.354,2675,7.229979
2020-01-01,Brooklyn,1,LCL/LTD,B3,Peak,8136.855,1272,6.3925586
2020-01-01,Brooklyn,2,LCL/LTD,B3,Off-Peak,8113.5957,1057,7.6700377
2020-01-01,Brooklyn,2,LCL/LTD,B3,Peak,3293.538,449,7.333577
2020-01-01,Brooklyn,1,LCL/LTD,B31,Off-Peak,5005.278,513,9.746892
2020-01-01,Brooklyn,1,LCL/LTD,B31,Peak,2582.685,318,8.097334
2020-01-01,Brooklyn,2,LCL/LTD,B31,Off-Peak,2474.955,219,11.264886
2020-01-01,Brooklyn,2,LCL/LTD,B31,Peak,861.84,83,10.367584
2020-01-01,Brooklyn,1,LCL/LTD,B32,Off-Peak,2743.666,294,9.319166
2020-01-01,Brooklyn,1,LCL/LTD,B32,Peak,1503.5021,179,8.370201
2020-01-01,Brooklyn,2,LCL/LTD,B32,Off-Peak,1310.11,138,9.439249
2020-01-01,Brooklyn,2,LCL/LTD,B32,Peak,684.132,71,9.59213
2020-01-01,Brooklyn,1,LCL/LTD,B35,Off-Peak,29824.246,5064,5.8890004
2020-01-01,Brooklyn,1,LCL/LTD,B35,Peak,13145.657,2544,5.167067
2020-01-01,Brooklyn,2,LCL/LTD,B35,Off-Peak,11891.311,1914,6.212752
2020-01-01,Brooklyn,2,LCL/LTD,B35,Peak,4479.695,768,5.827789
2020-01-01,Brooklyn,1,LCL/LTD,B36,Off-Peak,17845.99,2291,7.7874184
2020-01-01,Brooklyn,1,LCL/LTD,B36,Peak,10026.262,1427,7.024224
2020-01-01,Brooklyn,2,LCL/LTD,B36,Off-Peak,5942.056,691,8.590489
2020-01-01,Brooklyn,2,LCL/LTD,B36,Peak,2341.413,292,7.999718
2020-01-01,Brooklyn,1,LCL/LTD,B37,Off-Peak,8872.459,1067,8.314232
2020-01-01,Brooklyn,1,LCL/LTD,B37,Peak,3497.3699,500,6.9935045
2020-01-01,Brooklyn,2,LCL/LTD,B37,Off-Peak,3340.678,362,9.226919
2020-01-01,Brooklyn,2,LCL/LTD,B37,Peak,1171.5,133,8.776559
2020-01-01,Brooklyn,1,LCL/LTD,B38,Off-Peak,28132.701,4325,6.504638
2020-01-01,Brooklyn,1,LCL/LTD,B38,Peak,13377.686,2265,5.9043274
2020-01-01,Brooklyn,2,LCL/LTD,B38,Off-Peak,9459.294,1321,7.1575856
2020-01-01,Brooklyn,2,LCL/LTD,B38,Peak,3596.5452,529,6.789361
2020-01-01,Brooklyn,1,LCL/LTD,B39,Off-Peak,1262.804,115,10.893232
2020-01-01,Brooklyn,1,LCL/LTD,B39,Peak,646.484,60,10.625971
2020-01-01,Brooklyn,2,LCL/LTD,B39,Off-Peak,606.564,46,13.018877
2020-01-01,Brooklyn,2,LCL/LTD,B39,Peak,302.164,23,13.043365
